book_id,title,author,genre,word_count,file_path,url
56703,Ketchup: Methods of Manufacture; Microscopic Examination,"Bitting, K. G. (Katherine Golden), 1869-1937",Cooking & Drinking,19919,raw/Cooking & Drinking/56703.txt,
25631,A Poetical Cook-Book,"Moss, Maria J.",Cooking & Drinking,27857,raw/Cooking & Drinking/25631.txt,
65439,Apples in Appealing Ways [1951],"Swickard, Mary T., 1909-",Cooking & Drinking,4132,raw/Cooking & Drinking/65439.txt,
20889,Facts About Champagne and Other Sparkling Wines,"Vizetelly, Henry, 1820-1894",Cooking & Drinking,76205,raw/Cooking & Drinking/20889.txt,
68909,The Auxiliary cook book,Hebrew Sheltering Guardian Society. Auxiliary Society,Cooking & Drinking,27831,raw/Cooking & Drinking/68909.txt,
24588,"The Natural History of ChocolateBeing a Distinct and Particular Account of the Cocoa-Tree, its Growth and Culture, and the Preparation, Excellent Properties, and Medicinal Vertues of its Fruit","Quélus, D.",Cooking & Drinking,23126,raw/Cooking & Drinking/24588.txt,
76573,Chinese recipes,"Wong, Nellie C. (Nellie Choy), 1893-1934?",Cooking & Drinking,3004,raw/Cooking & Drinking/76573.txt,
65507,Grandma's Recipes for Mother and Daughter,Unknown,Cooking & Drinking,10201,raw/Cooking & Drinking/65507.txt,
21271,"Chocolate: or, An Indian DrinkeBy the wise and Moderate use whereof, Health is preserved, Sicknesse Diverted, and Cured, especially the Plague of the Guts; vulgarly called The New Disease","Colmenero de Ledesma, Antonio",Cooking & Drinking,12133,raw/Cooking & Drinking/21271.txt,
58853,"A treatise on the esculent funguses of Englandcontaining an account of their classical history, uses, characters, development, structure, nutritious properties, modes of cooking and preserving, etc.","Badham, David, 1806-1857",Cooking & Drinking,50502,raw/Cooking & Drinking/58853.txt,
66331,"A Treatise on Bread, and Bread-making","Graham, Sylvester, 1794-1851",Cooking & Drinking,24927,raw/Cooking & Drinking/66331.txt,
68446,The soup and sauce book,"Douglas, Elizabeth",Cooking & Drinking,18686,raw/Cooking & Drinking/68446.txt,
13775,Every Step in Canning: The Cold-Pack Method,"Gray, Grace Viall",Cooking & Drinking,66630,raw/Cooking & Drinking/13775.txt,
54045,The Economical Jewish Cook: A Modern Orthodox Recipe Book for Young Housekeepers,"Cohen, Edith B.",Cooking & Drinking,27476,raw/Cooking & Drinking/54045.txt,
13265,A Book of Fruits and Flowers,Anonymous,Cooking & Drinking,14918,raw/Cooking & Drinking/13265.txt,
72831,Left-over foods and how to use them :  with suggestions regarding the preservation of foods in the home,"Hiller, Elizabeth O., 1856?-1941",Cooking & Drinking,11498,raw/Cooking & Drinking/72831.txt,
46254,"Mrs. Hale's Receipts for the MillionContaining Four Thousand Five Hundred and Forty-five Receipts, Facts, Directions, etc. in the Useful, Ornamental, and Domestic Arts","Hale, Sarah Josepha Buell, 1788-1879",Cooking & Drinking,248769,raw/Cooking & Drinking/46254.txt,
65061,The Boston cooking-school cook book,"Farmer, Fannie Merritt, 1857-1915",Cooking & Drinking,182960,raw/Cooking & Drinking/65061.txt,
69370,"Leaves from our Tuscan kitchen; or, How to cook vegetables","Ross, Janet, 1842-1927",Cooking & Drinking,33974,raw/Cooking & Drinking/69370.txt,
54965,Miss Beecher's Domestic Receipt BookDesigned as a Supplement to Her Treatise on Domestic Economy,"Beecher, Catharine Esther, 1800-1878",Cooking & Drinking,92534,raw/Cooking & Drinking/54965.txt,
24542,Fifty salads,"Murrey, Thomas J. (Thomas Jefferson), 1844?-1900",Cooking & Drinking,8564,raw/Cooking & Drinking/24542.txt,
51780,The Olive,"Bitting, K. G. (Katherine Golden), 1869-1937",Cooking & Drinking,11078,raw/Cooking & Drinking/51780.txt,
15019,"A queens delight :  or, The art of preserving, conserving and candying. As also, a right knowledge of making perfumes, and distilling the most excellent waters.",Anonymous,Cooking & Drinking,22090,raw/Cooking & Drinking/15019.txt,
9935,Woman's Institute Library of Cookery. Volume 1: Essentials of Cookery; Cereals; Bread; Hot Breads,Woman's Institute of Domestic Arts and Sciences,Cooking & Drinking,89476,raw/Cooking & Drinking/9935.txt,
